
iter	f	tx	ty	tz	rx	ry	rz	gtx	gty	gtz	grx	gry	grz
67 4472.57 0.817674 -4.79062 7.8735 0.00217225 -0.000330072 -0.000618331 -2.01291 6.6322 2.8624 3102.67 -941.907 -6791.04 
68 4471.81 0.845445 -4.9524 8.13772 0.00228946 -0.000337833 -0.000284468 -2.48442 4.56535 3.53503 15327.4 -2537.17 -3608.97 
69 4471.71 0.838631 -4.91271 8.07289 0.0022607 -0.000335929 -0.000366385 -2.36882 5.0725 3.37001 12328 -2145.55 -4389.72 
70 4470.06 0.838631 -4.91271 8.07289 0.00202833 -0.000295488 -0.000283644 -2.04502 7.43829 3.12059 -2114.23 -106.728 -5868.4 
71 4468.8 0.838631 -4.91271 8.07289 0.00200591 -0.000274376 -3.55956e-005 -2.14889 7.31503 3.1217 -1674.54 -107.856 -4632.31 
72 4467.16 0.838631 -4.91271 8.07289 0.00196108 -0.000232152 0.000460502 -2.35671 7.0686 3.12389 -796.25 -111.475 -2160.19 
73 4466.71 0.838631 -4.91271 8.07289 0.00192177 -0.000195127 0.000895505 -2.53904 6.85262 3.12577 -27.3329 -116.145 7.44004 
74 4466.71 0.838631 -4.91271 8.07289 0.00192219 -0.000193376 0.00089536 -2.52009 6.84839 3.12888 -0.119706 0.568462 -0.043555 

iter	f	tx	ty	tz	rx	ry	rz	gtx	gty	gtz	grx	gry	grz
1 4396.94 0.838631 -4.91271 8.07289 0.00396869 -0.000237124 0.00122594 -0.0236021 3.38799 -11.4839 1434.01 -351.532 -4515.08 
2 4394.54 0.838631 -4.91271 8.0729 0.00384204 -0.000164092 0.00224578 -0.656589 3.30633 -11.5568 639.489 -1672.26 199.065 
3 4394.51 0.838631 -4.91271 8.0729 0.00383108 -0.000137624 0.00225135 -0.38359 3.41548 -11.5349 -1.39148 -0.374242 -0.306899 
4 4394.51 0.838632 -4.91271 8.07291 0.0038325 -0.000137038 0.00225171 -0.377825 3.39994 -11.5321 92.3337 36.5862 8.45526 
5 4394.51 0.838632 -4.91272 8.07292 0.00383247 -0.000137025 0.00225193 -0.377989 3.39991 -11.5321 92.2515 36.1519 9.5005 
6 4394.51 0.838633 -4.91273 8.07295 0.00383242 -0.000136999 0.00225237 -0.378318 3.39985 -11.5321 92.0871 35.2832 11.591 
7 4394.51 0.838635 -4.91274 8.073 0.00383231 -0.000136946 0.00225325 -0.378975 3.39972 -11.5321 91.7584 33.5459 15.772 
8 4394.51 0.838638 -4.91277 8.0731 0.00383209 -0.00013684 0.00225502 -0.380289 3.39947 -11.532 91.1008 30.0711 24.1339 
9 4394.51 0.838645 -4.91283 8.07329 0.00383166 -0.000136629 0.00225856 -0.382917 3.39897 -11.5319 89.7857 23.1216 40.8578 
10 4394.5 0.838658 -4.91295 8.07369 0.0038308 -0.000136207 0.00226563 -0.388174 3.39798 -11.5317 87.1552 9.22227 74.3057 
11 4394.49 0.838684 -4.91318 8.07449 0.00382908 -0.000135362 0.00227977 -0.398688 3.39599 -11.5313 81.8934 -18.5775 141.201 
12 4394.48 0.838737 -4.91366 8.07609 0.00382564 -0.000133672 0.00230805 -0.419716 3.39201 -11.5305 71.3662 -74.1812 274.993 
13 4394.46 0.838844 -4.9146 8.07928 0.00381876 -0.000130292 0.00236461 -0.461776 3.38406 -11.5289 50.2972 -185.406 542.579 
14 4394.46 0.838917 -4.91526 8.08149 0.003814 -0.00012795 0.00240382 -0.490932 3.37854 -11.5278 35.6816 -262.516 728.06 
15 4394.44 0.838991 -4.91591 8.08371 0.00380758 -0.000113455 0.00240931 -0.344674 3.43805 -11.512 -314.659 642.317 631.21 
16 4394.43 0.839055 -4.91648 8.08564 0.00380197 -0.0001008 0.00241411 -0.216978 3.49 -11.4983 -620.536 1432.32 546.65 
17 4394.41 0.839055 -4.91648 8.08564 0.00381377 -0.00012804 0.00240372 -0.491489 3.37859 -11.52 39.4204 -260.758 727.954 
18 4394.39 0.839055 -4.91648 8.08564 0.00381733 -0.000129995 0.00237253 -0.469154 3.38448 -11.5178 43.5688 -202.45 579.878 
19 4394.36 0.839055 -4.91648 8.08564 0.00382443 -0.000133905 0.00231015 -0.424488 3.39627 -11.5134 51.8476 -85.8544 283.728 
20 4394.35 0.839055 -4.91648 8.08564 0.00383112 -0.000137584 0.00225146 -0.382467 3.40736 -11.5093 59.6148 23.8231 5.08975 
21 4394.35 0.839055 -4.91648 8.08564 0.00383018 -0.00013797 0.00225128 -0.386341 3.41758 -11.5112 -2.0502 -0.842044 -0.38949 
22 4394.35 0.839055 -4.91648 8.08564 0.00383018 -0.00013797 0.00225128 -0.386342 3.41758 -11.5112 -2.04977 -0.843255 -0.38912 
23 4394.35 0.839055 -4.91649 8.08565 0.00383018 -0.00013797 0.00225128 -0.386343 3.41758 -11.5112 -2.04891 -0.845677 -0.38838 
24 4394.35 0.839055 -4.91649 8.08565 0.00383018 -0.00013797 0.00225128 -0.386344 3.41758 -11.5112 -2.0472 -0.850521 -0.3869 
25 4394.35 0.839056 -4.91649 8.08566 0.00383018 -0.000137971 0.00225128 -0.386348 3.41758 -11.5111 -2.04378 -0.860209 -0.38394 
26 4394.35 0.839056 -4.91649 8.08567 0.00383018 -0.000137971 0.00225128 -0.386355 3.41758 -11.5111 -2.03694 -0.879585 -0.378019 
27 4394.35 0.839057 -4.9165 8.08571 0.00383017 -0.000137973 0.00225129 -0.386369 3.41759 -11.5111 -2.02326 -0.918337 -0.366179 
28 4394.35 0.839059 -4.91652 8.08577 0.00383017 -0.000137975 0.00225129 -0.386396 3.41759 -11.5109 -1.99589 -0.99584 -0.342497 
29 4394.35 0.839064 -4.91656 8.0859 0.00383016 -0.000137981 0.00225129 -0.386451 3.4176 -11.5107 -1.94115 -1.15085 -0.295134 
30 4394.35 0.839072 -4.91664 8.08616 0.00383014 -0.000137991 0.0022513 -0.386561 3.41762 -11.5102 -1.83167 -1.46086 -0.200409 
31 4394.34 0.83909 -4.91679 8.08667 0.00383011 -0.000138012 0.00225133 -0.386781 3.41766 -11.5093 -1.61271 -2.08089 -0.0109569 
32 4394.33 0.839124 -4.9171 8.0877 0.00383004 -0.000138055 0.00225137 -0.387221 3.41773 -11.5074 -1.17479 -3.32095 0.367947 
33 4394.3 0.839193 -4.91771 8.08976 0.0038299 -0.000138139 0.00225145 -0.3881 3.41788 -11.5036 -0.298956 -5.80107 1.12575 
34 4394.25 0.839331 -4.91893 8.09388 0.00382961 -0.000138308 0.00225162 -0.38986 3.41818 -11.4959 1.45274 -10.7613 2.64137 
35 4394.15 0.839608 -4.92138 8.10212 0.00382905 -0.000138646 0.00225196 -0.393379 3.41878 -11.4807 4.95619 -20.6817 5.67263 
36 4393.94 0.840161 -4.92627 8.11859 0.00382793 -0.000139323 0.00225264 -0.400416 3.41998 -11.4503 11.9634 -40.5224 11.7352 
37 4393.53 0.841266 -4.93605 8.15154 0.00382567 -0.000140675 0.00225401 -0.414491 3.42238 -11.3894 25.9789 -80.2033 23.8606 
38 4392.72 0.843478 -4.95561 8.21745 0.00382117 -0.00014338 0.00225673 -0.442642 3.42719 -11.2676 54.0144 -159.563 48.1123 
